"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Malcolm Lee","2012","2015","G","6-5","200","May 22, 1990","UCLA"
"Rock Lee","1982","1982","C","6-10","220","May 1, 1955","California, San Diego State"
"Ron Lee","1977","1982","G","6-4","193","November 2, 1952","Oregon"
"Russ Lee","1973","1975","G-F","6-5","185","January 27, 1950","Marshall"
"Saben Lee","2021","2023","G","6-2","183","June 23, 1999","Vanderbilt"
"Ed Leede","1950","1951","F-G","6-3","185","July 17, 1927","Dartmouth College"
"Hank Lefkowitz","1947","1947","F","6-2","190","August 31, 1923","Case Western Reserve University"
"Tim Legler","1990","2000","G","6-4","200","December 26, 1966","La Salle"
"George Lehmann","1968","1974","G","6-0","180","May 1, 1942","Campbell"
"Barry Leibowitz","1968","1968","G","6-2","180","September 10, 1945","Long Island University"
"Walt Lemon Jr.","2018","2019","G","6-3","180","July 26, 1992","Bradley"
"Alex Len","2014","2023","C","7-0","250","June 16, 1993","Maryland"
"Voshon Lenard","1996","2006","G","6-4","205","May 14, 1973","Minnesota"
"Leary Lentz","1968","1969","F","6-6","200","February 23, 1945","Houston"
"Gary Leonard","1990","1992","C","7-1","250","February 16, 1967","Missouri"
"Kawhi Leonard","2012","2023","F","6-7","225","June 29, 1991","San Diego State"
"Meyers Leonard","2013","2023","C-F","7-0","260","February 27, 1992","Illinois"
"Slick Leonard*","1957","1963","G","6-3","185","July 17, 1932","Indiana"
"Jim Les","1989","1995","G","5-11","165","August 18, 1963","Cleveland State University, Bradley"
"Travis Leslie","2012","2012","G","6-4","205","March 29, 1990","Georgia"
"Ronnie Lester","1981","1986","G","6-2","175","January 1, 1959","Iowa"
"Clifford Lett","1990","1991","G","6-3","170","December 23, 1965","Florida"
"Jon Leuer","2012","2019","F","6-10","228","May 14, 1989","Wisconsin"
"Andrew Levane","1949","1953","F-G","6-2","190","April 11, 1920","St. John's"
"Fat Lever","1983","1994","G","6-3","170","August 18, 1960","Arizona State"
"Cliff Levingston","1983","1995","F","6-8","210","January 4, 1961","Wichita State"
"Bobby Lewis","1968","1971","G","6-3","175","March 20, 1945","UNC"
"Cedric Lewis","1996","1996","F-C","6-10","235","September 24, 1969","Maryland"
"Freddie Lewis","1949","1950","F-G","6-2","195","January 6, 1921","Eastern Kentucky University"
"Freddie Lewis","1967","1977","G","6-0","175","July 1, 1943","Eastern Arizona College, Arizona State"
"Grady Lewis","1947","1949","F-C","6-7","215","March 25, 1917","Oklahoma"
"Kira Lewis Jr.","2021","2023","G","6-1","170","April 6, 2001","Alabama"
"Martin Lewis","1996","1997","F","6-5","210","April 28, 1975","Butler County Community College, Seward County Community College"
"Mike Lewis","1969","1974","C-F","6-8","225","March 18, 1946","Duke"
"Quincy Lewis","2000","2004","F","6-7","215","June 26, 1977","Minnesota"
"Ralph Lewis","1988","1990","F-G","6-6","200","March 28, 1963","La Salle"
"Rashard Lewis","1999","2014","F","6-10","215","August 8, 1979",""
"Reggie Lewis","1988","1993","G-F","6-7","195","November 21, 1965","Northeastern University"
"Scottie Lewis","2022","2022","G","6-5","189","March 12, 2000","Florida"
"Marcus Liberty","1991","1994","F","6-8","205","October 27, 1968","Illinois"
"Todd Lichti","1990","1994","G-F","6-4","205","January 8, 1967","Stanford"
"DeAndre Liggins","2012","2018","G","6-6","209","March 31, 1988","Kentucky"
"Bill Ligon","1975","1975","G","6-4","180","May 29, 1952","Vanderbilt"
"Goose Ligon","1968","1974","F-C","6-7","210","February 22, 1944",""
"Damian Lillard","2013","2023","G","6-2","195","July 15, 1990","Weber State"
"Jeremy Lin","2011","2019","G","6-3","200","August 23, 1988","Harvard University"
"Steve Lingenfelter","1983","1984","F","6-9","225","June 10, 1958","Minnesota, South Dakota State"
"Alton Lister","1982","1998","C-F","7-0","240","October 1, 1958","Arizona State"
"Nassir Little","2020","2023","F","6-5","220","February 11, 2000","UNC"
"Sammy Little","1970","1970","G","6-0","180","March 29, 1946","Delta State University"
"Gene Littles","1970","1975","G","6-0","160","June 29, 1943","High Point University"
"Isaiah Livers","2022","2023","F","6-7","230","July 28, 1998","Michigan"
"Randy Livingston","1997","2007","G","6-4","209","April 2, 1975","LSU"
"Shaun Livingston","2005","2019","G","6-7","192","September 11, 1985",""
"Ron Livingstone","1950","1951","C","6-10","220","October 9, 1925","Saint Mary's, Wyoming"
"Horacio Llamas","1997","1998","C","6-11","285","July 17, 1973","Grand Canyon University"
"Bobby Lloyd","1968","1969","G","6-2","184","January 3, 1946","Rutgers University"
"Chuck Lloyd","1971","1971","C-F","6-8","220","May 22, 1947","Yankton College"
"Earl Lloyd*","1951","1960","F-C","6-5","200","April 3, 1928","West Virginia State University"
"Lewis Lloyd","1982","1990","G-F","6-6","205","February 22, 1959","Drake University"
"Scott Lloyd","1977","1983","C-F","6-10","230","December 19, 1952","Arizona State"
"Riney Lochmann","1968","1970","F","6-6","215","May 26, 1944","Kansas"
"Bob Lochmueller","1953","1953","F","6-5","185","June 5, 1927","Louisville"
"Rob Lock","1989","1989","F","6-9","225","May 22, 1966","Kentucky"
"Darrell Lockhart","1984","1984","C","6-9","245","September 14, 1960","Auburn"
"Ian Lockhart","1991","1991","F","6-8","240","June 25, 1967","Tennessee"
"Kevin Loder","1982","1984","F-G","6-6","205","March 15, 1959","Kentucky State University, Alabama State University"
"Don Lofgran","1951","1954","F-C","6-5","200","November 8, 1929","San Francisco"
"Kenneth Lofton Jr.","2023","2023","F","6-7","275","August 14, 2002","Louisiana Tech"
"Zach Lofton","2019","2019","G","6-4","180","November 18, 1992","Illinois State, Texas Southern, New Mexico State"
"Henry Logan","1969","1970","G","6-0","180","March 14, 1946","Western Carolina University"
"John Logan","1947","1951","G","6-2","175","January 1, 1921","Indiana"
"Brad Lohaus","1988","1998","F-C","6-11","230","September 29, 1964","Iowa"
"Art Long","2001","2003","F-C","6-9","250","October 1, 1972","Cincinnati"
"Grant Long","1989","2003","F","6-8","225","March 12, 1966","Eastern Michigan"
"John Long","1979","1997","G-F","6-5","195","August 28, 1956","Detroit Mercy"
"Paul Long","1968","1971","G","6-2","180","February 8, 1944","Virginia Tech, Wake Forest"
"Shawn Long","2017","2017","C-F","6-9","255","January 29, 1993","Louisiana"
"Willie Long","1972","1974","F-C","6-8","225","March 1, 1950","New Mexico"
"Luc Longley","1992","2001","C","7-2","265","January 19, 1969","New Mexico"
"Kevon Looney","2016","2023","F-C","6-9","222","February 6, 1996","UCLA"
"Brook Lopez","2009","2023","C","7-0","282","April 1, 1988","Stanford"
"Felipe López","1999","2002","G","6-5","199","December 19, 1974","St. John's"
"Raül López","2004","2005","G","6-1","170","April 15, 1980",""
"Robin Lopez","2009","2023","C","7-0","281","April 1, 1988","Stanford"
"Ryan Lorthridge","1995","1995","G","6-4","190","July 27, 1972","Jackson State University"
"Jim Loscutoff","1956","1964","F","6-5","220","February 4, 1930","Oregon"
"Plummer Lott","1968","1969","F-G","6-5","210","December 11, 1945","Seattle University"
"Kevin Loughery","1963","1973","G","6-3","190","March 28, 1940","Boston College, St. John's"
"Didi Louzada","2021","2022","G","6-5","188","February 7, 1999",""
"Bob Love","1967","1977","F","6-8","215","December 8, 1942","Southern University and A&M College"
"Kevin Love","2009","2023","F","6-8","251","September 7, 1988","UCLA"
"Stan Love","1972","1975","F","6-9","215","April 9, 1949","Oregon"
"Clyde Lovellette*","1954","1964","C-F","6-9","234","September 7, 1929","Kansas"
"Sidney Lowe","1984","1990","G","6-0","195","January 21, 1960","NC State"
"Charlie Lowery","1972","1972","G","6-3","185","November 12, 1949","University of Puget Sound"
"Kyle Lowry","2007","2023","G","6-0","196","March 25, 1986","Villanova"
"Jordan Loyd","2019","2019","G","6-4","210","July 27, 1993","Furman University, University of Indianapolis"
"Al Lucas","1949","1949","F-G","6-3","195","July 4, 1922","Fordham"
"Jerry Lucas*","1964","1974","F-C","6-8","230","March 30, 1940","Ohio State"
"John Lucas","1977","1990","G","6-3","175","October 31, 1953","Maryland"
"Kalin Lucas","2015","2019","G","6-1","195","May 24, 1989","Michigan State"
"Maurice Lucas","1975","1988","F-C","6-9","215","February 18, 1952","Marquette"
"John Lucas III","2006","2017","G","5-11","166","November 21, 1982","Baylor, Oklahoma State"
"Ted Luckenbill","1962","1963","F","6-6","205","July 27, 1939","Houston"
"Tyronn Lue","1999","2009","G","6-0","175","May 3, 1977","Nebraska"
"Jim Luisi","1954","1954","G","6-2","180","November 2, 1928","St. Francis College"
"Al Lujack","1947","1947","F","6-3","220","October 5, 1920","Georgetown"
"Phil Lumpkin","1975","1976","G","6-0","165","December 20, 1951","Miami University"
"Ray Lumpp","1949","1953","G","6-1","178","July 11, 1923","NYU"
"Gabriel Lundberg","2022","2022","G","6-4","203","December 4, 1994",""
"Timothé Luwawu-Cabarrot","2017","2022","F","6-7","220","May 9, 1995",""
"Tyler Lydon","2018","2019","F","6-10","225","April 9, 1996","Syracuse"
"Trey Lyles","2016","2023","F","6-9","234","November 5, 1995","Kentucky"
"R.B. Lynam","1968","1968","G","6-1","190","","Oklahoma Baptist University"
"George Lynch","1994","2005","F","6-8","218","September 3, 1970","UNC"
"Kevin Lynch","1992","1993","G-F","6-5","195","December 24, 1968","Minnesota"
"Lonnie Lynn","1970","1970","F","6-7","215","May 24, 1943","Upper Iowa University, Wilberforce University"
"Mike Lynn","1970","1971","F","6-7","215","November 25, 1945","UCLA"
"Sheldon Mac","2017","2017","G","6-5","200","December 21, 1992","Texas, Miami (FL)"
"Todd MacCulloch","2000","2003","C","7-0","280","January 27, 1976","Washington"
"Ronnie MacGilvray","1955","1955","G","6-2","185","July 20, 1930","St. John's"
"Don MacLean","1993","2001","F","6-10","235","January 16, 1970","UCLA"
"Mike Macaluso","1974","1974","F","6-5","210","July 20, 1951","Canisius"
"Ed Macauley*","1950","1959","C-F","6-8","185","March 22, 1928","Saint Louis"
"Scott Machado","2013","2019","G","6-1","205","June 8, 1990","Iona College"
"Arvydas Macijauskas","2006","2006","G","6-4","214","January 19, 1980",""
"Ollie Mack","1980","1982","G","6-3","185","June 6, 1957","East Carolina University"
"Sam Mack","1993","2002","F-G","6-7","220","May 26, 1970","Iowa State, Tyler Junior College, Houston"
"Shelvin Mack","2012","2019","G","6-3","203","April 22, 1990","Butler"
"Malcolm Mackey","1994","1994","F-C","6-9","248","July 11, 1970","Georgia Tech"
"Rudy Macklin","1982","1984","F-G","6-7","205","February 19, 1958","LSU"
"Vernon Macklin","2012","2012","F","6-10","227","September 20, 1986","Georgetown, Florida"
"Johnny Macknowski","1950","1951","G-F","6-0","180","January 7, 1923","Seton Hall"
"Daryl Macon","2019","2020","G","6-2","185","November 29, 1995","Arkansas"
"Mark Macon","1992","1999","G","6-5","185","April 14, 1969","Temple"
"J.P. Macura","2019","2020","G","6-5","203","June 5, 1995","Xavier"
"Kyle Macy","1981","1987","G","6-3","175","April 9, 1957","Purdue, Kentucky"
"Jack Maddox","1949","1949","F-G","6-3","185","December 10, 1919","West Texas A&M University"
"Tito Maddox","2003","2003","G","6-4","190","June 7, 1981","Fresno State"
"Gerald Madkins","1994","1998","G","6-4","200","April 18, 1969","UCLA"
"Mark Madsen","2001","2009","F-C","6-9","240","January 28, 1976","Stanford"
"Norm Mager","1951","1951","F","6-5","185","March 23, 1926","City College of New York"
"Josh Magette","2018","2020","G","6-1","160","November 28, 1989","Alabama-Huntsville"
"Corey Maggette","2000","2013","F","6-6","218","November 12, 1979","Duke"
"Dave Magley","1983","1983","F","6-8","202","November 24, 1959","Kansas"
"Jamaal Magloire","2001","2012","C","6-11","259","May 21, 1978","Kentucky"
"Will Magnay","2021","2021","C","6-10","234","June 10, 1998","Tulsa"
"Randy Mahaffey","1968","1971","F","6-7","210","September 28, 1945","Clemson"
"Ian Mahinmi","2008","2020","C","6-11","262","November 5, 1986",""
"John Mahnken","1947","1953","C","6-8","220","June 16, 1922","Georgetown"
"Brian Mahoney","1973","1973","G","6-3","175","December 17, 1948","Manhattan College"
"Mo Mahoney","1953","1954","F","6-2","205","November 20, 1927","Brown University"
"Rick Mahorn","1981","1999","C-F","6-10","240","September 21, 1958","Hampton"
"Dan Majerle","1989","2002","G-F","6-6","215","September 9, 1965","Central Michigan University"
"Renaldo Major","2007","2007","F","6-7","200","May 7, 1982","South Plains College, Fresno State"
"Thon Maker","2017","2021","F-C","7-0","221","February 25, 1997",""
"Lionel Malamed","1949","1949","G","5-9","150","November 15, 1924","City College of New York"
"Théo Maledon","2021","2023","G","6-4","175","June 12, 2001",""
"Jeff Malone","1984","1996","G","6-4","205","June 28, 1961","Mississippi State"
"Karl Malone*","1986","2004","F","6-9","250","July 24, 1963","Louisiana Tech"
"Moses Malone*","1975","1995","C-F","6-10","215","March 23, 1955",""
"Matt Maloney","1997","2003","G","6-3","192","December 6, 1971","Vanderbilt, Penn"
"Steve Malovic","1980","1980","F","6-10","230","July 21, 1956","USC, San Diego State"
"Mike Maloy","1971","1973","F","6-7","215","May 10, 1949","Davidson"
"Sandro Mamukelashvili","2022","2023","C-F","6-11","240","May 23, 1999","Seton Hall"
"Ted Manakas","1974","1974","G","6-2","180","February 22, 1951","Princeton"
"John Mandic","1949","1950","F-C","6-4","205","October 3, 1919","Oregon State"
"Karim Mané","2021","2021","G","6-3","190","May 16, 2000","Vanier College"
"Frank Mangiapane","1947","1947","G","5-10","195","August 5, 1925","NYU"
"Terance Mann","2020","2023","G-F","6-5","215","October 18, 1996","Florida State"
"Tre Mann","2022","2023","G","6-3","178","February 3, 2001","Florida"
"Danny Manning","1989","2003","F-C","6-10","230","May 17, 1966","Kansas"
"Ed Manning","1968","1976","F","6-7","210","January 2, 1944","Jackson State University"
"Guy Manning","1968","1969","F","6-6","195","February 4, 1944","Prairie View A&M University"
"Rich Manning","1996","1997","C","6-11","253","June 23, 1970","Syracuse, Washington"
"Nico Mannion","2021","2021","G","6-2","190","March 14, 2001","Arizona"
"Pace Mannion","1984","1989","G","6-7","190","September 22, 1960","Utah"
"Nick Mantis","1960","1963","G","6-3","190","December 7, 1935","Northwestern"
"Pete Maravich*","1971","1980","G","6-5","197","June 22, 1947","LSU"
"Press Maravich","1947","1947","G","6-0","185","August 29, 1915","Davis & Elkins College"
"Devyn Marble","2015","2016","G-F","6-6","200","September 21, 1992","Iowa"
"Roy Marble","1990","1994","G-F","6-6","190","December 13, 1966","Iowa"
"Stephon Marbury","1997","2009","G","6-2","180","February 20, 1977","Georgia Tech"
"Šarūnas Marčiulionis*","1990","1997","G","6-5","200","June 13, 1964",""
"Saul Mariaschin","1948","1948","G","5-11","165","September 1, 1924","Harvard University"
"Jack Marin","1967","1977","F-G","6-7","200","October 12, 1944","Duke"
"Shawn Marion","2000","2015","F","6-7","220","May 7, 1978","Vincennes University, UNLV"
"Boban Marjanović","2016","2023","C","7-3","290","August 15, 1988",""
"Lauri Markkanen","2018","2023","F-C","7-0","240","May 22, 1997","Arizona"
"Damir Markota","2007","2007","C","6-10","225","December 26, 1985",""
"Sean Marks","1999","2011","F-C","6-10","250","August 23, 1975","California"
"Harvey Marlatt","1971","1973","G","6-3","185","August 26, 1948","Eastern Michigan"
"Jim Marsh","1972","1972","F","6-7","215","April 26, 1946","USC"
"Ricky Marsh","1978","1978","G","6-3","200","March 10, 1954","Manhattan College"
"Donny Marshall","1996","2003","F","6-7","230","July 17, 1972","UConn"
"Donyell Marshall","1995","2009","F","6-9","218","May 18, 1973","UConn"
"Kendall Marshall","2013","2016","G","6-4","200","August 19, 1991","UNC"
"Naji Marshall","2021","2023","F","6-7","220","January 24, 1998","Xavier"
"Rawle Marshall","2006","2007","G-F","6-9","190","February 20, 1982","Ball State University, Oakland"
"Tom Marshall","1955","1959","F-G","6-4","215","January 6, 1931","Western Kentucky"
"Vester Marshall","1974","1974","F","6-7","200","December 22, 1948","Oklahoma"
"Bill Martin","1986","1988","F","6-7","205","August 16, 1962","Georgetown"
"Bob Martin","1994","1995","C","7-0","250","October 7, 1969","Minnesota"
"Brian Martin","1986","1986","F","6-9","212","August 18, 1962","Kansas"
"Caleb Martin","2020","2023","F","6-5","205","September 28, 1995","NC State, Nevada"
"Cartier Martin","2009","2015","F","6-7","220","November 20, 1984","Kansas State"
"Cody Martin","2020","2023","G-F","6-5","205","September 28, 1995","NC State, Nevada"
"Cuonzo Martin","1996","1997","G-F","6-5","213","September 23, 1971","Purdue"
"Darrick Martin","1995","2008","G","5-11","170","March 6, 1971","UCLA"
"Dino Martin","1947","1948","G","5-8","160","May 25, 1920","Georgetown"
"Don Martin","1947","1949","C-F","6-7","210","February 7, 1920","Central Missouri State University"
"Fernando Martín","1987","1987","C","6-9","220","March 25, 1962",""
"Jarell Martin","2016","2019","F","6-10","239","May 24, 1994","LSU"
"Jeff Martin","1990","1991","G","6-5","195","January 14, 1967","Murray State"
"Jeremiah Martin","2020","2021","G","6-3","185","June 19, 1996","Memphis"
"Kelan Martin","2020","2022","F","6-5","230","August 3, 1995","Butler"
"Kenyon Martin","2001","2015","F","6-9","234","December 30, 1977","Cincinnati"
"Kenyon Martin Jr.","2021","2023","F","6-6","215","January 6, 2001",""
"Kevin Martin","2005","2016","G","6-7","199","February 1, 1983","Western Carolina University"
"LaRue Martin","1973","1976","C","6-11","208","March 30, 1950","Loyola Chicago"
"Maurice Martin","1987","1988","F-G","6-6","200","July 2, 1964","Saint Joseph's"
"Phil Martin","1955","1955","G","6-3","190","April 2, 1928","Toledo"
"Slater Martin*","1950","1960","G","5-10","170","October 22, 1925","Texas"
"Tyrese Martin","2023","2023","G","6-6","215","March 7, 1999","Rhode Island, UConn"
"Whitey Martin","1962","1962","G","6-2","185","April 11, 1939","St. Bonaventure"
"Jamal Mashburn","1994","2004","F","6-8","240","November 29, 1972","Kentucky"
"Al Masino","1953","1954","G","5-10","174","February 5, 1928","Canisius"
"Anthony Mason","1990","2003","F","6-7","250","December 14, 1966","Tennessee State"
"Desmond Mason","2001","2010","F","6-7","224","October 11, 1977","Oklahoma State"
"Frank Mason III","2018","2021","G","5-11","190","April 3, 1994","Kansas"
"Roger Mason","2003","2014","G","6-5","200","September 10, 1980","Virginia"
"Tony Massenburg","1991","2005","F","6-9","220","July 31, 1967","Maryland"
"Eddie Mast","1971","1973","F-C","6-9","220","October 3, 1948","Temple"
"Yante Maten","2019","2019","F","6-8","240","August 14, 1996","Georgia"
"Garrison Mathews","2020","2023","G","6-5","215","October 24, 1996","Lipscomb"
"Mangok Mathiang","2018","2018","C-F","6-10","230","October 8, 1992","Louisville"
"Dakota Mathias","2021","2022","G","6-4","200","July 11, 1995","Purdue"
"Johnny Mathis","1968","1968","F","6-6","220","July 14, 1943","Savannah State University"
"Bennedict Mathurin","2023","2023","G-F","6-6","210","June 19, 2002","Arizona"
"Wes Matthews","1981","1990","G","6-1","170","August 24, 1959","Wisconsin"
"Wesley Matthews","2010","2023","G","6-4","220","October 14, 1986","Marquette"
"Ariel Maughan","1947","1951","F","6-4","190","February 23, 1923","Utah State University"
"Marlon Maxey","1993","1994","F","6-8","250","February 19, 1969","Minnesota, Texas-El Paso"
"Tyrese Maxey","2021","2023","G","6-2","200","November 4, 2000","Kentucky"
"Jason Maxiell","2006","2015","F-C","6-7","260","February 18, 1983","Cincinnati"
"Cedric Maxwell","1978","1988","F","6-8","205","November 21, 1955","UNC Charlotte"
"Vernon Maxwell","1989","2001","G","6-4","180","September 12, 1965","Florida"
"Don May","1969","1975","F","6-4","200","January 3, 1946","Dayton"
"Scott May","1977","1983","F","6-7","215","March 19, 1954","Indiana"
"Sean May","2006","2010","F-C","6-9","266","April 4, 1984","UNC"
"Lee Mayberry","1993","1999","G","6-1","172","June 12, 1970","Arkansas"
"Clyde Mayes","1976","1977","F","6-8","225","March 17, 1953","Furman University"
"Tharon Mayes","1992","1992","G","6-3","175","September 9, 1968","Florida State"
"Bill Mayfield","1981","1981","F","6-7","205","October 17, 1957","Iowa"
"Ken Mayfield","1976","1976","G","6-2","185","May 11, 1948","Tuskegee University"
"Eric Maynor","2010","2014","G","6-3","175","June 11, 1987","VCU"
"O.J. Mayo","2009","2016","G","6-5","210","November 5, 1987","USC"
"Skylar Mays","2021","2022","G","6-4","205","September 5, 1997","LSU"
"Travis Mays","1991","1993","G","6-2","190","June 19, 1968","Texas"
"Matt Mazza","1950","1950","F","6-3","210","September 23, 1923","Michigan State"
"Luc Mbah a Moute","2009","2020","F","6-8","230","September 9, 1986","UCLA"
"Bob McAdoo*","1973","1986","C-F","6-9","210","September 25, 1951","Vincennes University, UNC"
"James Michael McAdoo","2015","2018","F","6-9","230","January 4, 1993","UNC"
"Ken McBride","1955","1955","G-F","6-3","190","May 23, 1929","University of Maryland Eastern Shore"
"Miles McBride","2022","2023","G","6-2","200","September 8, 2000","West Virginia"
"Tahjere McCall","2019","2019","G","6-5","195","August 17, 1994","Tennessee State"
"Ray McCallum","2014","2016","G","6-3","190","June 12, 1991","Detroit Mercy"
"Bob McCann","1990","1998","F","6-6","244","April 22, 1964","Upsala College, Morehead State University"
"Brendan McCann","1958","1960","G","6-2","178","July 5, 1935","St. Bonaventure"
"Mel McCants","1990","1990","F","6-8","240","August 19, 1967","Purdue"
"Rashad McCants","2006","2009","G","6-4","207","September 25, 1984","UNC"
"Mike McCarron","1947","1950","G","5-11","180","March 2, 1922","Seton Hall"
"Andre McCarter","1977","1981","G","6-3","190","August 25, 1953","UCLA"
"Willie McCarter","1970","1972","G","6-3","175","July 26, 1946","Drake University"
"Johnny McCarthy","1957","1964","G","6-1","185","April 25, 1934","Canisius"
"Howie McCarty","1947","1947","F-G","6-2","190","April 15, 1919","Wayne State University"
"Kelly McCarty","1999","1999","G-F","6-7","200","August 24, 1975","Southern Miss"
"Walter McCarty","1997","2006","F","6-10","230","February 1, 1974","Kentucky"
"Amal McCaskill","1997","2004","F-C","6-11","235","October 28, 1973","Marquette"
"Patrick McCaw","2017","2021","G","6-7","181","October 25, 1995","UNLV"
"Dwayne McClain","1986","1986","G","6-6","185","February 7, 1963","Villanova"
"Ted McClain","1972","1979","G","6-1","180","August 30, 1946","Tennessee State"
"Dan McClintock","2001","2001","C","7-0","270","April 19, 1977","Northern Arizona University"
"Jack McCloskey","1953","1953","G","6-2","190","September 19, 1925","Penn"
"George McCloud","1990","2002","G-F","6-6","205","May 27, 1967","Florida State"
"Mac McClung","2022","2022","G","6-2","185","January 6, 1999","Georgetown, Texas Tech"
"CJ McCollum","2014","2023","G","6-3","190","September 19, 1991","Lehigh"
"John McConathy","1952","1952","F","6-5","195","April 9, 1930","Northwestern State University"
"Bucky McConnell","1953","1953","G","5-10","170","July 1, 1928",""
"T.J. McConnell","2016","2023","G","6-1","190","March 25, 1992","Duquesne, Arizona"
"Keith McCord","1981","1981","G","6-7","210","June 22, 1957","Alabama, UAB"
"Tim McCormick","1985","1992","C","6-11","240","March 10, 1962","Michigan"
"Jelani McCoy","1999","2008","C","6-10","245","December 6, 1977","UCLA"
"Paul McCracken","1973","1977","G","6-4","180","September 11, 1950","Cal State Northridge"
"Chris McCray","2007","2007","G","6-5","192","May 27, 1984","Maryland"
"Rodney McCray","1984","1993","F-G","6-7","220","August 29, 1961","Louisville"
"Scooter McCray","1984","1987","F-G","6-9","215","February 8, 1960","Louisville"
"Erik McCree","2018","2018","F","6-7","219","December 20, 1993","Louisiana Tech"
"Chris McCullough","2016","2018","F","6-11","200","February 5, 1995","Syracuse"
"John McCullough","1982","1982","G","6-4","190","October 5, 1956","Oklahoma"
"Clint McDaniel","1996","1996","G","6-4","180","February 26, 1972","Arkansas"
"Xavier McDaniel","1986","1998","F","6-7","205","June 4, 1963","Wichita State"
"Jaden McDaniels","2021","2023","F","6-9","185","September 29, 2000","Washington"
"Jalen McDaniels","2020","2023","F","6-9","205","January 31, 1998","San Diego State"
"Jim McDaniels","1972","1978","C-F","6-11","228","April 2, 1948","Western Kentucky"
"K.J. McDaniels","2015","2017","G-F","6-6","205","February 9, 1993","Clemson"
"Doug McDermott","2015","2023","F","6-7","225","January 3, 1992","Creighton"
"Sean McDermott","2021","2021","F","6-6","195","November 3, 1996","Butler"
"Ben McDonald","1986","1989","F","6-8","210","July 20, 1962","University of California, Irvine"
"Glenn McDonald","1975","1977","F-G","6-6","190","March 18, 1952","Cal State Long Beach"
"Michael McDonald","1998","1998","C","6-10","232","February 13, 1969","Utah Valley, New Orleans"
"Rod McDonald","1971","1973","F","6-6","205","April 9, 1945","Whitworth"
"Hank McDowell","1982","1987","F-C","6-9","215","November 13, 1959","Memphis"
"Antonio McDyess","1996","2011","F-C","6-9","220","September 7, 1974","Alabama"
"Jim McElroy","1976","1982","G","6-3","190","October 4, 1953","Central Michigan University"
"Pat McFarland","1974","1976","F-G","6-5","185","December 7, 1951","Saint Joseph's"
"Ivan McFarlin","2007","2007","F","6-8","240","April 26, 1982","Oklahoma State"
"Mel McGaha","1949","1949","G","6-1","190","September 26, 1926","Arkansas"
"Mitch McGary","2015","2016","F-C","6-10","255","June 6, 1992","Michigan"
"JaVale McGee","2009","2023","C","7-0","270","January 19, 1988","Nevada"
"Mike McGee","1982","1990","G-F","6-5","190","July 29, 1959","Michigan"
"Bill McGill","1963","1970","C-F","6-9","225","September 16, 1939","Utah"
"George McGinnis*","1972","1982","F-C","6-8","235","August 12, 1950","Indiana"
"Jon McGlocklin","1966","1976","G-F","6-5","205","June 10, 1943","Indiana"
"Bryce McGowens","2023","2023","G-F","6-7","179","November 8, 2002","Nebraska"
"Tracy McGrady*","1998","2012","G-F","6-8","210","May 24, 1979",""
"Gil McGregor","1972","1972","F","6-8","240","June 14, 1949","Wake Forest"
"Cameron McGriff","2022","2022","F","6-7","230","September 30, 1997","Oklahoma State"
"Elton McGriff","1968","1969","C","6-9","225","August 21, 1942","City College of San Francisco, Creighton"
"Rodney McGruder","2017","2023","G","6-4","205","July 29, 1991","Kansas State"
"Alfred McGuire*","1952","1955","G-F","6-2","180","September 7, 1928","St. John's"
"Allie McGuire","1974","1974","G","6-3","175","July 10, 1951","Marquette"
"Dick McGuire*","1950","1960","G","6-0","180","January 25, 1926","St. John's"
"Dominic McGuire","2008","2013","F","6-9","220","October 20, 1985","California, Fresno State"
"Kevin McHale*","1981","1993","F-C","6-10","210","December 19, 1957","Minnesota"
"Maurice McHartley","1968","1970","G-F","6-3","185","August 1, 1942","North Carolina A&T"
"Jim McIlvaine","1995","2001","C","7-1","240","July 30, 1972","Marquette"
"Jeff McInnis","1997","2008","G","6-4","190","October 22, 1974","UNC"
"Kenny McIntosh","1972","1975","F","6-7","225","January 21, 1949","Eastern Michigan"
"Bob McIntyre","1968","1970","F","6-6","215","January 23, 1944","St. John's"
"Jerry McKee","1970","1970","G","6-3","190","August 4, 1946","Ohio University"
"Kevin McKenna","1982","1988","G-F","6-5","195","January 8, 1959","Creighton"
"Forrest McKenzie","1987","1987","F","6-7","200","February 16, 1963","Loyola Marymount"
"Stan McKenzie","1968","1974","F-G","6-5","195","October 6, 1944","NYU"
"Derrick McKey","1988","2002","F-C","6-9","205","October 10, 1966","Alabama"
"Aaron McKie","1995","2007","G-F","6-5","209","October 2, 1972","Temple"
"Billy McKinney","1979","1986","G","6-0","160","June 5, 1955","Northwestern"
"Bones McKinney","1947","1952","F-C","6-6","185","January 1, 1919","UNC"
"Carlton McKinney","1990","1992","G","6-4","190","October 21, 1964","Tulsa, SMU"
"Trey McKinney-Jones","2018","2018","G","6-5","214","August 27, 1990","Missouri-Kansas City, Miami (FL)"
"Alfonzo McKinnie","2018","2022","F","6-7","215","September 17, 1992","Green Bay"
"JaQuori McLaughlin","2022","2022","G","6-4","190","January 29, 1998","Oregon State, UC Santa Barbara"
"Jordan McLaughlin","2020","2023","G","5-11","185","April 9, 1996","USC"
"Ben McLemore","2014","2022","G","6-3","195","February 11, 1993","Kansas"
